Brand,Motor,Weight g,KV,Prop,T,Data Batt S,V,A,Thrust g,Efficiency,W,RPM,Min Prop,Max Prop,Stator Diameter,Stator height,Data P size,Data P pitch,Prop area,Stator Vol,Stator Volume/Prop Area ratio
Flashobby,A2812,76,900,HQ8040,70.00%,6,25.12,11.78,1189,4.02,295.9,12587,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,HQ8040,80.00%,6,25.07,16.31,1510,3.69,409,14043,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,HQ8040,90.00%,6,25.03,21.63,1805,3.33,541.3,15361,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,HQ8040,100.00%,6,24.97,27.85,2132,3.07,695.3,16582,7,10,28,12,8,4,50.27,7389.03,147
Flashobby,A2812,76,900,GF9045,50.00%,6,25.19,7.78,949,4.84,195.9,8596,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,GF9045,60.00%,6,25.15,12.02,1299,4.3,302.4,9997,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,GF9045,70.00%,6,25.1,17.57,1683,3.82,440.9,11253,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,GF9045,80.00%,6,25.04,24.41,2048,3.35,611.2,12406,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,GF9045,90.00%,6,24.98,31.35,2348,3,783.1,13330,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,GF9045,100.00%,6,24.92,38.81,2640,2.73,967,14031,7,10,28,12,9,4.5,63.62,7389.03,116.15
Flashobby,A2812,76,900,HQ9050,50.00%,6,25.16,8.81,1046,4.72,221.6,8314,7,10,28,12,9,5,63.62,7389.03,116.15
Flashobby,A2812,76,900,HQ9050,60.00%,6,25.11,13.84,1419,4.08,347.5,9578,7,10,28,12,9,5,63.62,7389.03,116.15
Flashobby,A2812,76,900,HQ9050,70.00%,6,25.06,19.91,1773,3.55,498.9,10708,7,10,28,12,9,5,63.62,7389.03,116.15
Flashobby,A2812,76,900,HQ9050,80.00%,6,24.98,27.37,2144,3.14,683.7,11601,7,10,28,12,9,5,63.62,7389.03,116.15
